Model,Year,Mileage,Fuel,Gearbox,Horsepower ,Price,Link to advertisement
Volvo V60,2018,9723,2,0,150,199800,https://www.blocket.se/annons/1001041097
Volvo V60,2018,7485,2,0,191,217900,https://www.blocket.se/annons/1001247189
Volvo V60,2018,15377,2,0,221,228900,https://www.blocket.se/annons/1001228615
Volvo V60,2018,11673,0,0,232,234700,https://www.blocket.se/annons/1001122632
Volvo V60,2018,6963,2,0,150,219800,https://www.blocket.se/annons/1001191884
Volvo V60,2018,7170,2,0,191,234900,https://www.blocket.se/annons/1001134027
Volvo V60,2018,10695,2,0,191,199900,https://www.blocket.se/annons/1001245739
Volvo V60,2018,15980,2,0,191,199900,https://www.blocket.se/annons/1000501410
Volvo V60,2018,21770,2,0,221,179900,https://www.blocket.se/annons/1001244983
Volvo V60,2018,9780,2,0,192,214800,https://www.blocket.se/annons/1001243695
Volvo V60,2018,12324,2,0,150,208900,https://www.blocket.se/annons/1001037747
Volvo V60,2018,11431,2,1,150,174800,https://www.blocket.se/annons/1001243101
Volvo V60,2018,9950,0,1,234,219900,https://www.blocket.se/annons/1001093085
Volvo V60,2018,5950,1,1,153,194500,https://www.blocket.se/annons/1001242584
Volvo V60,2018,9095,1,0,153,204800,https://www.blocket.se/annons/1001242545
Volvo V60,2018,15100,0,0,232,194900,https://www.blocket.se/annons/1001242125
Volvo V60,2018,11393,2,0,150,219900,https://www.blocket.se/annons/1001019035
Volvo V60,2018,12400,2,0,191,219900,https://www.blocket.se/annons/1001154133
Volvo V60,2018,7087,0,0,232,246900,https://www.blocket.se/annons/1001240572
Volvo V60,2018,6700,0,0,232,259900,https://www.blocket.se/annons/1001183763
Volvo V60,2018,12900,2,0,192,209500,https://www.blocket.se/annons/1001240271
Volvo V60,2018,10250,0,0,234,219001,https://www.blocket.se/annons/1000886355
Volvo V60,2018,17200,2,0,150,159900,https://www.blocket.se/annons/1001239909
Volvo V60,2018,9419,2,0,191,227800,https://www.blocket.se/annons/1000886947
Volvo V60,2018,12700,0,0,164,234800,https://www.blocket.se/annons/1001239200
Volvo V60,2018,13492,2,1,150,154900,https://www.blocket.se/annons/1001016099
Volvo V60,2018,10608,0,0,232,234900,https://www.blocket.se/annons/1001040243
Volvo V60,2018,11129,2,0,191,214900,https://www.blocket.se/annons/1001064803
Volvo V60,2018,8700,2,0,191,219900,https://www.blocket.se/annons/1001234480
Volvo V60,2018,18723,1,0,245,159900,https://www.blocket.se/annons/1001060999
Volvo V60,2018,14600,1,0,153,170000,https://www.blocket.se/annons/1400647787
Volvo V60,2018,6943,0,0,231,259800,https://www.blocket.se/annons/1001195347
Volvo V60,2018,8438,2,0,191,229900,https://www.blocket.se/annons/1000551467
Volvo V60,2018,9252,2,0,191,214800,https://www.blocket.se/annons/1001229963
Volvo V60,2018,7261,2,1,191,209900,https://www.blocket.se/annons/1000649085
Volvo V60,2018,9419,2,1,150,184800,https://www.blocket.se/annons/1001090547
Volvo V60,2018,15639,0,0,232,198900,https://www.blocket.se/annons/1000922840
Volvo V60,2018,15102,0,0,232,204700,https://www.blocket.se/annons/1000921561
